Viktor Jigger,ENTJ,6
Gregory the Smarmy Goyle,ESTP,2
Frank Gregorovitch,ISFJ,5
Olympe Zabini,ISFP,5
Rolanda Grubbly-Plank,ESFP,2
Katie Kirke,ISFP,6
George Mimsey-Porpington,ESFP,3
Agatha Potter,ENTJ,7
Lucius Krum,ESTP,5
Amycus Gryffindor,ISFP,4
Cuthbert Finch-Fletchley,ESFJ,3
Arsenius Millicent,ESFJ,4
Barberus Jorkins,ISTP,2
Gwenog Figg,ESTJ,3
Albus percival Wulfric Brian Jigger,ENTJ,6
Travers Bode,INFJ,4
Frank MacFarlan,INFP,4
Madam Rosmerta Chang,INTP,6
Magorian Wood,INFJ,3
Wilkie Nott,INTP,3
Augustus Diggory,INTP,3
Luna Riddle,ESFJ,4
Phineas Nigellus Peasegood,ESTP,7
Florean Dursley,ISFP,6
Olympe Bell,ISTJ,2
Jugson Vane,ESFJ,6
Barnabas the Barmy Prang,INTJ,5
Vaisey Ravenclaw,INFJ,2
Aragog Peakes,INFJ,5
Paracelsus Zeller,ENFP,7
Sybill Dippet,ISTJ,7
Ripper Purkiss,INTP,2
Pius Peverell,INFP,6
Arsenius Bragge,ENFJ,5
Luna Hopkirk,INTJ,5
Wilbert Pettigrew,ENFP,7
Andrew Dolohov,ENFP,3
Lee Pennifold,ENTJ,6
Gabrielle Belby,ESTP,2
Elladora Kirke,INTP,2
Madam Poppy Parkinson,ISFP,7
Magorian Delacour,ISFJ,2
Michael Delaney-Podmore,ISTP,7
Neville Peverell,INTP,6
Firenze Trelawney,ISTJ,5
Septima Finch-Fletchley,ISTP,7
Nagini Flint,INFP,2
Andrew Robins,ESFP,6
Bathilda Quirke,ESTP,2
Gwendolyn Davies,ESTP,2
Gilderoy Timms,INFP,3
Ragnok Malfoy,INFP,3
Stubby Finnigan,ISFJ,6
Colin Rabnott,ISTP,7
Beedle Ollivander,ISTP,4
Bob Peasegood,ISTJ,6
Ariana Shacklebolt,ISTJ,5
Bogrod Keddle,INFJ,3
Igor Sprout,ISFJ,5
Troy Umfraville,ENTP,6
Pomona Finnigan,ESTP,4
Ragnok Delacour,ESFP,6
Bellatrix Higgs,ISTP,7
Cornelius Quirke,ESFJ,5
Aurora Meliflua,ESFP,7
Ignotus Flint,ESTP,5
Hengist of Woodcroft Dolohov,ENFP,7
Troy Whitby,ENTJ,2
Catriona Malfoy,ESTJ,6
Sybill Ivanova,ENTP,7
Trevor Weasley,ESTP,2
Helena Dedalus,ESTP,7
Filius Bones,ISFJ,6
Jugson Mimsey-Porpington,ISTP,4
Viridian Bones,INTP,6
Crookshanks Delacour,ISTP,7
Mafalda Grubbly-Plank,INTP,6
Ron Wood,INTJ,4
Rubeus Nott,ISFP,3
Elfrida Filch,ISFP,5
Malkin Doreen,INTP,7
Ripper Krum,INFJ,2
Avery McGonagall,ESTJ,2
Livius Quirke,ENTJ,3
Elfrida Flamel,ENTP,7
Cassandra Fortescue,ESTJ,5
Agrippa Higgs,ESFP,4
Peeves Vane,INFP,6
Fawkes Helga,ENTJ,2
Frank Weasley,ESTJ,4
Gregory Zograf,ENFJ,6
Troy Hagrid,INFP,4
Fluffy Slughorn,ISTP,4
Rowena Bell,ENFP,6
Vernon Lestrange,ESTJ,2
Buckbeak Coote,ISFP,7
Luna Belby,ENFP,2
Aunt Marge Zabini,ISFJ,3
Alicia Ollivander,ESFJ,7
Bob McLaggen,INTJ,4
Patrick Dumbledore,ISTP,7
Ted Polkiss,INFJ,3
Anthony Wood,ESTJ,2
Remus Shacklebolt,ESTP,6
Firenze Potter,ISFJ,4
Ted Carrow,ESFP,5
Aberforth Figg,ENFP,6
Morgana Meliflua,ISTP,3
Tom Lestrange,ISTJ,6
Albus percival Wulfric Brian Gaunt,ESFP,5
Gladys Grunnion,ISFP,7
Newton Finnigan,ISTJ,4
Lavender Grubbly-Plank,ISFJ,6
Snivellus Pomfrey,ENTJ,5
Charlie Elphick,INFP,3
Ignotus Clagg,ESFP,6
Hannah Longbottom,ESFP,3
Percy Mumps,ISFP,6
