Viktor Jigger,ENTJ,6,Ravenclaw
Gregory the Smarmy Goyle,ESTP,2,Gryffindor
Frank Gregorovitch,ISFJ,5,Hufflepuff
Olympe Zabini,ISFP,5,Slytherin
Rolanda Grubbly-Plank,ESFP,2,Ravenclaw
Katie Kirke,ISFP,6,Slytherin
George Mimsey-Porpington,ESFP,3,Ravenclaw
Agatha Potter,ENTJ,7,Ravenclaw
Lucius Krum,ESTP,5,Gryffindor
Amycus Gryffindor,ISFP,4,Slytherin
Cuthbert Finch-Fletchley,ESFJ,3,Hufflepuff
Arsenius Millicent,ESFJ,4,Hufflepuff
Barberus Jorkins,ISTP,2,Gryffindor
Gwenog Figg,ESTJ,3,Ravenclaw
Albus percival Wulfric Brian Jigger,ENTJ,6,Ravenclaw
Travers Bode,INFJ,4,Hufflepuff
Frank MacFarlan,INFP,4,Hufflepuff
Madam Rosmerta Chang,INTP,6,Gryffindor
Magorian Wood,INFJ,3,Hufflepuff
Wilkie Nott,INTP,3,Gryffindor
Augustus Diggory,INTP,3,Gryffindor
Luna Riddle,ESFJ,4,Hufflepuff
Phineas Nigellus Peasegood,ESTP,7,Gryffindor
Florean Dursley,ISFP,6,Slytherin
Olympe Bell,ISTJ,2,Slytherin
Jugson Vane,ESFJ,6,Hufflepuff
Barnabas the Barmy Prang,INTJ,5,Ravenclaw
Vaisey Ravenclaw,INFJ,2,Hufflepuff
Aragog Peakes,INFJ,5,Hufflepuff
Paracelsus Zeller,ENFP,7,Hufflepuff
Sybill Dippet,ISTJ,7,Slytherin
Ripper Purkiss,INTP,2,Gryffindor
Pius Peverell,INFP,6,Hufflepuff
Arsenius Bragge,ENFJ,5,Gryffindor
Luna Hopkirk,INTJ,5,Ravenclaw
Wilbert Pettigrew,ENFP,7,Hufflepuff
Andrew Dolohov,ENFP,3,Hufflepuff
Lee Pennifold,ENTJ,6,Ravenclaw
Gabrielle Belby,ESTP,2,Gryffindor
Elladora Kirke,INTP,2,Gryffindor
Madam Poppy Parkinson,ISFP,7,Slytherin
Magorian Delacour,ISFJ,2,Hufflepuff
Michael Delaney-Podmore,ISTP,7,Gryffindor
Neville Peverell,INTP,6,Gryffindor
Firenze Trelawney,ISTJ,5,Slytherin
Septima Finch-Fletchley,ISTP,7,Gryffindor
Nagini Flint,INFP,2,Hufflepuff
Andrew Robins,ESFP,6,Ravenclaw
Bathilda Quirke,ESTP,2,Gryffindor
Gwendolyn Davies,ESTP,2,Gryffindor
Gilderoy Timms,INFP,3,Hufflepuff
Ragnok Malfoy,INFP,3,Hufflepuff
Stubby Finnigan,ISFJ,6,Hufflepuff
Colin Rabnott,ISTP,7,Gryffindor
Beedle Ollivander,ISTP,4,Gryffindor
Bob Peasegood,ISTJ,6,Slytherin
Ariana Shacklebolt,ISTJ,5,Slytherin
