Name,MB,Year,House
Bloody Baron Slughorn,1,2,Gryffindor
Olympe Nott,7,4,Gryffindor
Barnabas the Barmy Lynch,10,3,Hufflepuff
Dolores Thicknesse,9,6,Slytherin
Hestia Purkiss,1,3,Gryffindor
Uric Peasegood,1,5,Gryffindor
Mafalda Vector,9,5,Slytherin
Edgar Trelawney,2,3,Slytherin
Mosag Higgs,16,6,Ravenclaw
Roger Crabbe,2,5,Slytherin
Igor Snape,4,3,Slytherin
Snivellus Maxime,8,4,Hufflepuff
Miranda Zeller,4,4,Slytherin
Vincent Flint,1,5,Gryffindor
Jean Elphick,1,4,Gryffindor
Nymphadora Jigger,8,5,Hufflepuff
Hestia Marchbanks,16,5,Ravenclaw
Jimmy Grunnion,16,5,Ravenclaw
Gregory the Smarmy Mimsey-Porpington,4,4,Slytherin
Wilfred Creevey,5,5,Ravenclaw
James Sprout,3,3,Slytherin
Lisa Diggory,2,6,Slytherin
Oblansk Peasegood,5,6,Ravenclaw
Ronan Trelawney,9,6,Slytherin
Travers Parkinson,2,6,Slytherin
Antonin Grubbly-Plank,10,3,Hufflepuff
Peter Dawlish,6,6,Gryffindor
Kennilworthy Finch-Fletchley,13,6,Ravenclaw
Aidan Hooch,8,6,Hufflepuff
Broderick Imago,12,4,Ravenclaw
Broderick Jordan,2,4,Slytherin
Cho Jigger,4,3,Slytherin
Malkin Trimble,2,6,Slytherin
Winky Dolohov,8,2,Hufflepuff
Dolores Twycross,11,4,Hufflepuff
Moony Slinkhard,9,3,Slytherin
Arsenius Lockhart,14,3,Ravenclaw
Regulus Belby,15,2,Ravenclaw
Gertie Evans,9,6,Slytherin
Septima Carrow,13,6,Ravenclaw
Antonin Rabnott,13,6,Ravenclaw
Bane Bulstrode,15,5,Ravenclaw
Lavender Peverell,3,4,Slytherin
Terence Burbage,6,5,Gryffindor
Petunia Snape,3,3,Slytherin
Dennis Bode,4,2,Slytherin
Dirk Keddle,13,4,Ravenclaw
Errol Morgan,1,6,Gryffindor
Percy Cattermole,3,5,Slytherin
Igor Clagg,16,5,Ravenclaw
Janus Evans,8,3,Hufflepuff
Elphias Prewett,2,2,Slytherin
Yaxley McLaggen,3,5,Slytherin
Rita Robins,10,6,Hufflepuff
Dobby Brown,5,6,Ravenclaw
Phyllida Corner,3,5,Slytherin
Alastor Hagrid,5,5,Ravenclaw
Janus Finnigan,12,3,Ravenclaw
Gilderoy Whisp,5,4,Ravenclaw
You-Know-Who Shacklebolt,10,5,Hufflepuff
Quirinus Tonks,14,4,Ravenclaw
Aidan Chang,2,5,Slytherin
Dedalus Belby,11,6,Hufflepuff
Argus Coote,10,2,Hufflepuff
Penelope Hagrid,4,3,Slytherin
Demelza Slytherin,1,5,Gryffindor
Molly Marchbanks,7,4,Gryffindor
Ripper Peakes,8,3,Hufflepuff
MykewÂ Zograf,12,3,Ravenclaw
Bertha Black,16,2,Ravenclaw
Katie Hufflepuff,10,4,Hufflepuff
Tom Figg,11,4,Hufflepuff
Elladora McClaggen,1,6,Gryffindor
Bartemius Fletcher,9,6,Slytherin
Hermione Finch-Fletchley,16,4,Ravenclaw
Neville Jorkins,14,5,Ravenclaw
Augustus Twycross,4,3,Slytherin
Aberforth Dolohov,3,2,Slytherin
Troy Dedalus,15,2,Ravenclaw
Nymphadora Malfoy,7,4,Gryffindor
Fluffy Trelawney,8,3,Hufflepuff
Justin Boardman,2,3,Slytherin
Lucius Diggle,2,6,Slytherin
Fawkes Lupin,3,6,Slytherin
Troy Mumps,14,4,Ravenclaw
Regulus Whitby,13,4,Ravenclaw
Winky Dippet,7,3,Gryffindor
Kendra Jordan,6,2,Gryffindor
Rowena Slughorn,4,2,Slytherin
George Dawlish,2,5,Slytherin
Dedalus Lestrange,9,5,Slytherin
Elladora Corner,16,4,Ravenclaw
Hermes Keddle,12,2,Ravenclaw
Quirinus Dedalus,9,4,Slytherin
Araminta Ivanova,6,6,Gryffindor
Ronan Carrow,5,4,Ravenclaw
Millicent Carrow,10,2,Hufflepuff
Beedle Lynch,6,3,Gryffindor
Bogrod ,16,4,Ravenclaw
Nicolas Perks,5,2,Ravenclaw
Nagini Granger,5,4,Ravenclaw
Hermione Crabbe,4,6,Slytherin
Ptolemy Crabbe,6,5,Gryffindor
Quirinus Nott,7,3,Gryffindor
Miranda Shacklebolt,4,3,Slytherin
Goodwin Krum,2,5,Slytherin
Ivan Dedalus,14,6,Ravenclaw
Viktor Longbottom,11,3,Hufflepuff
Xenophilius Flint,1,5,Gryffindor
Garrick MacMillian,3,3,Slytherin
Amycus Crockford,3,6,Slytherin
Filius Jorkins,6,2,Gryffindor
Helena Thickey,4,6,Slytherin
Alastor Filch,6,2,Gryffindor
Bartemius Crouch Junior Creevey,9,6,Slytherin
Susan Quirrell,2,5,Slytherin
Aidan Flint,3,2,Slytherin
Eunice Meliflua,13,4,Ravenclaw
Clara Jigger,3,6,Slytherin
Andrew Morgan,5,2,Ravenclaw
Dudley Rookwood,13,2,Ravenclaw
Cedric Slytherin,15,4,Ravenclaw
Minerva Jorkins,4,6,Slytherin
Yaxley Evans,10,5,Hufflepuff
Neville McGonagall,1,4,Gryffindor
Charity Jordan,6,4,Gryffindor
Scabbers Whitby,15,4,Ravenclaw
James Robins,1,3,Gryffindor
Elladora Thicknesse,2,6,Slytherin
Kreacher Thickey,16,3,Ravenclaw
Ritchie Grubbly-Plank,7,4,Gryffindor
Salazar Pennifold,1,4,Gryffindor
Patrick Ogden,1,4,Gryffindor
Ted Cresswell,16,6,Ravenclaw
Vaisey Patil,1,5,Gryffindor
Augusta Fortescue,2,4,Slytherin
Dolores Grubbly-Plank,2,4,Slytherin
Paracelsus Goyle,5,2,Ravenclaw
Cornelius Hooch,8,4,Hufflepuff
Nymphadora Diggory,7,3,Gryffindor
John Finnigan,11,3,Hufflepuff
Travers Peverell,4,3,Slytherin
Dennis Lynch,13,6,Ravenclaw
Cho Helga,9,3,Slytherin
Prongs Mostafa,2,6,Slytherin
Kingsley Fortescue,15,6,Ravenclaw
Terence Skeeter,12,4,Ravenclaw
Lisa Jordan,13,5,Ravenclaw
Salazar Diggle,5,3,Ravenclaw
Mundungus Imago,2,4,Slytherin
Lisa Volkov,3,6,Slytherin
Ginny Hagrid,15,2,Ravenclaw
Sirius Pince,3,5,Slytherin
Rolanda Snape,4,3,Slytherin
Colin Turpin,10,2,Hufflepuff
Cho Rosier,10,3,Hufflepuff
Hestia Mumps,4,5,Slytherin
Morgana Slughorn,11,4,Hufflepuff
Patrick Smith,7,2,Gryffindor
Gilderoy Pince,6,6,Gryffindor
Xenophilius Zabini,2,3,Slytherin
Cadmus Pince,6,3,Gryffindor
Gertie Meliflua,16,3,Ravenclaw
Jimmy Delaney-Podmore,1,4,Gryffindor
Cedric Burbage,1,2,Gryffindor
Magorian Jones,5,2,Ravenclaw
Cassius Dolohov,13,4,Ravenclaw
Parvati Lynch,7,6,Gryffindor
Emmeline Murray,4,5,Slytherin
Ptolemy Kettleburn,7,3,Gryffindor
Penelope Dawlish,8,2,Hufflepuff
Angelina Parkinson,6,2,Gryffindor
Broderick Mimsey-Porpington,1,5,Gryffindor
Wendy Quirrell,4,3,Slytherin
Aragog Corner,1,4,Gryffindor
Trevor Shacklebolt,5,6,Ravenclaw
James Trelawney,10,2,Hufflepuff
Ted Elphick,5,2,Ravenclaw
Adalbert Warrington,7,3,Gryffindor
Errol Malfoy,4,3,Slytherin
Padfoot Jorkins,4,2,Slytherin
Gwenog Hagrid,15,5,Ravenclaw
Winky Maxime,10,6,Hufflepuff
Filius Pince,1,2,Gryffindor
Oliver Volkov,13,4,Ravenclaw
Frank Prince,9,3,Slytherin
Tom Lestrange,4,4,Slytherin
Olympe Elphick,4,3,Slytherin
Fat Friar Corner,13,6,Ravenclaw
Muriel Jorkins,9,5,Slytherin
Sybill Dedalus,7,4,Gryffindor
